month,crossing_key,crossing_label,persons_total,persons_foreign_total,trucks_total,transport_total,source_pdf
1,dolhobyczow_drogowe,Dolhobyczow road,83044,80540,8539,22283,https://nadbuzanski.strazgraniczna.pl/download/12/305982/ruchdointernetu-styczen2025.pdf
2,dolhobyczow_drogowe,Dolhobyczow road,63204,60776,8698,20139,https://nadbuzanski.strazgraniczna.pl/download/12/309191/Luty2025.pdf
3,dolhobyczow_drogowe,Dolhobyczow road,74219,71733,9987,23215,https://nadbuzanski.strazgraniczna.pl/download/12/309852/marzec2025.pdf
4,dolhobyczow_drogowe,Dolhobyczow road,81777,78821,9187,23833,https://nadbuzanski.strazgraniczna.pl/download/12/312014/ruchdointernetu-kwiecien2025.pdf
5,dolhobyczow_drogowe,Dolhobyczow road,88969,86084,11349,27028,https://nadbuzanski.strazgraniczna.pl/download/12/314917/Maj2025.pdf
6,dolhobyczow_drogowe,Dolhobyczow road,108874,105781,10195,27553,https://nadbuzanski.strazgraniczna.pl/download/12/325470/ruchdointernetu-czerwiec2025.pdf
7,dolhobyczow_drogowe,Dolhobyczow road,133064,129623,10566,30261,https://nadbuzanski.strazgraniczna.pl/download/12/326883/ruchdointernetu-lipiec2025.pdf
8,dolhobyczow_drogowe,Dolhobyczow road,142278,138212,9887,32715,https://nadbuzanski.strazgraniczna.pl/download/12/328615/ruchdointernetu-sierpien2025.pdf
9,dolhobyczow_drogowe,Dolhobyczow road,107112,104418,10402,28698,https://nadbuzanski.strazgraniczna.pl/download/12/331715/ruchdointernetu-wrzesien2025.pdf
10,dolhobyczow_drogowe,Dolhobyczow road,107522,104776,10770,30086,https://nadbuzanski.strazgraniczna.pl/download/12/334105/ruchdointernetu-pazdziernik2025.pdf
11,dolhobyczow_drogowe,Dolhobyczow road,94331,91608,10079,26966,https://nadbuzanski.strazgraniczna.pl/download/12/337007/ruchdointernetu-listopad2025.pdf
12,dolhobyczow_drogowe,Dolhobyczow road,105737,102880,9408,26774,https://nadbuzanski.strazgraniczna.pl/download/12/338326/ruchdointernetu-grudzien2025.pdf
1,dorohusk_kolejowe,Dorohusk rail,57080,56088,0,626,https://nadbuzanski.strazgraniczna.pl/download/12/305982/ruchdointernetu-styczen2025.pdf
2,dorohusk_kolejowe,Dorohusk rail,46444,45503,0,561,https://nadbuzanski.strazgraniczna.pl/download/12/309191/Luty2025.pdf
3,dorohusk_kolejowe,Dorohusk rail,53478,52400,0,646,https://nadbuzanski.strazgraniczna.pl/download/12/309852/marzec2025.pdf
4,dorohusk_kolejowe,Dorohusk rail,55391,54116,0,656,https://nadbuzanski.strazgraniczna.pl/download/12/312014/ruchdointernetu-kwiecien2025.pdf
5,dorohusk_kolejowe,Dorohusk rail,59344,58096,0,656,https://nadbuzanski.strazgraniczna.pl/download/12/314917/Maj2025.pdf
6,dorohusk_kolejowe,Dorohusk rail,64641,63506,0,632,https://nadbuzanski.strazgraniczna.pl/download/12/325470/ruchdointernetu-czerwiec2025.pdf
7,dorohusk_kolejowe,Dorohusk rail,72014,70835,0,645,https://nadbuzanski.strazgraniczna.pl/download/12/326883/ruchdointernetu-lipiec2025.pdf
8,dorohusk_kolejowe,Dorohusk rail,71080,69829,0,659,https://nadbuzanski.strazgraniczna.pl/download/12/328615/ruchdointernetu-sierpien2025.pdf
9,dorohusk_kolejowe,Dorohusk rail,63187,61988,0,636,https://nadbuzanski.strazgraniczna.pl/download/12/331715/ruchdointernetu-wrzesien2025.pdf
10,dorohusk_kolejowe,Dorohusk rail,58418,57231,0,680,https://nadbuzanski.strazgraniczna.pl/download/12/334105/ruchdointernetu-pazdziernik2025.pdf
11,dorohusk_kolejowe,Dorohusk rail,53273,52151,0,658,https://nadbuzanski.strazgraniczna.pl/download/12/337007/ruchdointernetu-listopad2025.pdf
12,dorohusk_kolejowe,Dorohusk rail,57334,56213,0,710,https://nadbuzanski.strazgraniczna.pl/download/12/338326/ruchdointernetu-grudzien2025.pdf
1,dorohusk_drogowe,Dorohusk road,113086,111465,31892,34715,https://nadbuzanski.strazgraniczna.pl/download/12/305982/ruchdointernetu-styczen2025.pdf
2,dorohusk_drogowe,Dorohusk road,90980,89007,32648,35139,https://nadbuzanski.strazgraniczna.pl/download/12/309191/Luty2025.pdf
3,dorohusk_drogowe,Dorohusk road,107529,105657,37748,40611,https://nadbuzanski.strazgraniczna.pl/download/12/309852/marzec2025.pdf
4,dorohusk_drogowe,Dorohusk road,117089,114978,32754,35781,https://nadbuzanski.strazgraniczna.pl/download/12/312014/ruchdointernetu-kwiecien2025.pdf
5,dorohusk_drogowe,Dorohusk road,120276,118310,34221,37490,https://nadbuzanski.strazgraniczna.pl/download/12/314917/Maj2025.pdf
6,dorohusk_drogowe,Dorohusk road,149342,147636,35735,39113,https://nadbuzanski.strazgraniczna.pl/download/12/325470/ruchdointernetu-czerwiec2025.pdf
7,dorohusk_drogowe,Dorohusk road,179119,176867,37044,40520,https://nadbuzanski.strazgraniczna.pl/download/12/326883/ruchdointernetu-lipiec2025.pdf
8,dorohusk_drogowe,Dorohusk road,186848,184446,37285,40832,https://nadbuzanski.strazgraniczna.pl/download/12/328615/ruchdointernetu-sierpien2025.pdf
9,dorohusk_drogowe,Dorohusk road,138109,136638,36167,39566,https://nadbuzanski.strazgraniczna.pl/download/12/331715/ruchdointernetu-wrzesien2025.pdf
10,dorohusk_drogowe,Dorohusk road,131615,130036,38141,41482,https://nadbuzanski.strazgraniczna.pl/download/12/334105/ruchdointernetu-pazdziernik2025.pdf
11,dorohusk_drogowe,Dorohusk road,111739,110276,33881,36998,https://nadbuzanski.strazgraniczna.pl/download/12/337007/ruchdointernetu-listopad2025.pdf
12,dorohusk_drogowe,Dorohusk road,121453,119948,32794,35982,https://nadbuzanski.strazgraniczna.pl/download/12/338326/ruchdointernetu-grudzien2025.pdf
1,hrebenne_kolejowe,Hrebenne rail,8186,7712,0,125,https://nadbuzanski.strazgraniczna.pl/download/12/305982/ruchdointernetu-styczen2025.pdf
2,hrebenne_kolejowe,Hrebenne rail,4894,4486,0,111,https://nadbuzanski.strazgraniczna.pl/download/12/309191/Luty2025.pdf
3,hrebenne_kolejowe,Hrebenne rail,5092,4660,0,125,https://nadbuzanski.strazgraniczna.pl/download/12/309852/marzec2025.pdf
4,hrebenne_kolejowe,Hrebenne rail,5828,5376,0,117,https://nadbuzanski.strazgraniczna.pl/download/12/312014/ruchdointernetu-kwiecien2025.pdf
5,hrebenne_kolejowe,Hrebenne rail,5040,4680,0,100,https://nadbuzanski.strazgraniczna.pl/download/12/314917/Maj2025.pdf
6,hrebenne_kolejowe,Hrebenne rail,7574,7142,0,119,https://nadbuzanski.strazgraniczna.pl/download/12/325470/ruchdointernetu-czerwiec2025.pdf
7,hrebenne_kolejowe,Hrebenne rail,11227,10683,0,126,https://nadbuzanski.strazgraniczna.pl/download/12/326883/ruchdointernetu-lipiec2025.pdf
8,hrebenne_kolejowe,Hrebenne rail,11634,11054,0,124,https://nadbuzanski.strazgraniczna.pl/download/12/328615/ruchdointernetu-sierpien2025.pdf
9,hrebenne_kolejowe,Hrebenne rail,5131,4833,0,60,https://nadbuzanski.strazgraniczna.pl/download/12/331715/ruchdointernetu-wrzesien2025.pdf
10,hrebenne_kolejowe,Hrebenne rail,3938,3679,0,61,https://nadbuzanski.strazgraniczna.pl/download/12/334105/ruchdointernetu-pazdziernik2025.pdf
11,hrebenne_kolejowe,Hrebenne rail,3539,3273,0,58,https://nadbuzanski.strazgraniczna.pl/download/12/337007/ruchdointernetu-listopad2025.pdf
12,hrebenne_kolejowe,Hrebenne rail,4526,4207,0,58,https://nadbuzanski.strazgraniczna.pl/download/12/338326/ruchdointernetu-grudzien2025.pdf
1,hrebenne_drogowe,Hrebenne road,186690,182387,12177,44574,https://nadbuzanski.strazgraniczna.pl/download/12/305982/ruchdointernetu-styczen2025.pdf
2,hrebenne_drogowe,Hrebenne road,141716,137526,12608,42049,https://nadbuzanski.strazgraniczna.pl/download/12/309191/Luty2025.pdf
3,hrebenne_drogowe,Hrebenne road,162261,157974,14909,45866,https://nadbuzanski.strazgraniczna.pl/download/12/309852/marzec2025.pdf
